#,Reference,Qty,Value,Footprint,Website
1,"C1, C3, C4",3,100nF,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm,https://www.digikey.com/en/products/detail/kemet/C322C104K5R5TA/818105
2,C2,1,47nF,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm,https://www.digikey.com/en/products/detail/kemet/C322C473K5R5TA7301/6562350
3,"D1, D2, D6, D7, D8, D9, D10, D11",8,~,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,https://www.digikey.com/en/products/detail/micro-commercial-co/1N4002-TP/773639
4,"D3, D4, D5, D12, D13, D14, D15, D16",8,LED,LED_THT:LED_D1.8mm_W3.3mm_H2.4mm,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/151033RS03000/4490003
5,"D17, D19, D20, D22, D23, D25",6,ZPD10,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.digikey.com/en/products/detail/diotec-semiconductor/ZPD10/13153578
6,"D18, D24",2,ZPD12,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.digikey.com/en/products/detail/diotec-semiconductor/ZPD12/22190185
7,D21,1,ZPD5.1,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.digikey.com/en/products/detail/diotec-semiconductor/ZPD5-1/13153915
8,"J1, J5",2,GND,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/282837-4/2187975
9,J2,1,+12V,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/282837-4/2187975
10,J3,1,-12V,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/282837-4/2187975
